,id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,tsne_0,tsne_1
54,S00025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.43077508,6.439074e-05
55,S00026,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.43091685,0.00027110815
56,S00027,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0013413911,0.53448105
57,S00028,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.529161,0.88787174
58,S00029,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.43106467,0.0
59,S00030,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.8624773,0.58605075
60,S00031,0.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.86699605,0.58901143
61,S00032,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.8661687,0.5880657
62,S00033,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.2981933,0.6466355
63,S00034,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.42073607,0.71298146
64,S00035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.21247777,0.2465833
65,S00036,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.5218467,0.8653066
66,S00037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.23137313,0.22510108
67,S00038,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.45687008,0.13333769
68,S00039,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.19743887,0.5081896
69,S00040,0.0,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.7240168,0.7128289
70,S00041,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.595806,0.26035997
71,S00042,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.84559697,0.5758666
72,S00043,0.0,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.73179185,0.69639564
73,S00044,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.60314107,0.26221666
74,S00045,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.43716973
75,S00046,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.4310543,0.8997637
76,S00047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.00037202067,0.43672043
77,S00048,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.43126285,0.89862585
78,S00049,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.46756396,0.10162482
79,S00050,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.46756163,0.1018104
80,S00051,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,4.9990827e-05,0.43712905
81,S00052,0.0,0.0,1.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.43142793,0.8999229
82,S00053,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.4679427,0.10165405
83,S00054,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.84751874,0.48230416
84,S00055,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.8487922,0.48365143
85,S00056,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.84878355,0.48259515
86,S00057,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.33726206,0.60689193
87,S00058,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.36791727,0.7331816
88,S00059,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.17688493,0.34899184
