id,pred_avg_Pnma_uncorrected,pred_avg_Pbcm_uncorrected
S00198,0.497982458,0.479638295
S00199,0.51533024,0.492827655
S00200,0.533408032,0.51449947
S00201,0.490652747,0.459635715
S00202,0.498969373,0.47943476
S00203,0.515149632,0.4880324
S00204,0.534944151,0.51634135
S00205,0.448358324,0.474712265
S00206,0.46742058,0.49372315
S00207,0.508264852,0.501193715
S00208,0.485907372,0.509455875
S00209,0.447920969,0.44399623
S00210,0.462677517,0.46188995
S00211,0.468014983,0.47250976
S00212,0.49129976,0.4910271
S00213,0.443457904,0.440584785
S00214,0.45769969,0.45795208
S00215,0.46148908,0.45481331
S00216,0.492156577,0.49179549
S00217,0.533234968,0.47937191
S00218,0.534606044,0.492719035
S00219,0.563208002,0.503262785
S00220,0.560363325,0.522115075
S00221,0.492147366,0.47341873
S00222,0.511953754,0.501100645
S00223,0.550938214,0.514005325
S00224,0.540288561,0.5218972
S00225,0.493332734,0.465703725
S00226,0.510730504,0.4974376
S00227,0.531376457,0.504273315
S00228,0.539391236,0.516494465
S00229,0.492423003,0.46067865
S00230,0.509739465,0.49115051
S00231,0.53113066,0.50573252
S00232,0.538512765,0.51226637
S00233,0.535816295,0.47843284
S00234,0.548218542,0.50599627
S00235,0.579759561,0.517821565
S00236,0.565943895,0.522889
S00237,0.447998049,0.46333257
S00238,0.464922377,0.483311805
S00239,0.49814967,0.489331085
S00240,0.485404259,0.500939585
S00241,0.448309038,0.45641847
S00242,0.46344251,0.47492251
S00243,0.488020643,0.48439487
S00244,0.487129681,0.493427485
S00245,0.445532343,0.459255995
S00246,0.460378758,0.47867055
S00247,0.49144612,0.480990865
S00248,0.485113964,0.500252575
S00249,0.446707264,0.443842815
S00250,0.46027518,0.4619641
S00251,0.467677517,0.466984135
S00252,0.489551039,0.48515733
S00253,0.444516904,0.45248851
S00254,0.459356579,0.47307576
S00255,0.481532687,0.47196847
S00256,0.486671045,0.496284775
S00257,0.445381491,0.442902335
S00258,0.459508593,0.461592015
S00259,0.466590223,0.463893885
S00260,0.489378311,0.485404625
S00261,0.453642673,0.472222735
S00262,0.463996597,0.48570223
S00263,0.510691121,0.495351835
S00264,0.495827915,0.51151035
S00265,0.453104115,0.452132165
S00266,0.467583912,0.466546415
S00267,0.47217032,0.475536275
S00268,0.496384354,0.49178736
S00269,0.448485642,0.44929556
S00270,0.464079013,0.46467952
S00271,0.470788859,0.464162285
S00272,0.498742076,0.499286415
S00273,0.46795236,0.471349355
S00274,0.479276619,0.486857825
S00275,0.520075819,0.49434179
S00276,0.511146728,0.51540533
S00277,0.467121347,0.461205575
S00278,0.476817187,0.47187731
S00279,0.489028743,0.48645891
S00280,0.512108274,0.502317325
S00281,0.467047542,0.457847065
S00282,0.479242638,0.4766252
S00283,0.487905154,0.479168985
S00284,0.515596243,0.507037045
S00285,0.454048205,0.471633345
S00286,0.47383638,0.497532905
S00287,0.511665453,0.4961568
S00288,0.497379695,0.5114024
S00289,0.454531623,0.452597635
S00290,0.4712094,0.47607658
S00291,0.475979239,0.47899563
S00292,0.50058826,0.49996515
S00293,0.451055173,0.445061
S00294,0.467462757,0.47319719
S00295,0.482730425,0.475629865
S00296,0.502282474,0.49973713
S00297,0.534118273,0.48018681
S00298,0.535915608,0.4941204
S00299,0.564392208,0.5046194
S00300,0.558518898,0.520772965
S00301,0.471076446,0.47301315
S00302,0.488334313,0.4961313
S00303,0.527764986,0.50372612
S00304,0.517695313,0.5158937
S00305,0.46901209,0.46147238
S00306,0.486830013,0.48457569
S00307,0.501956642,0.49488204
S00308,0.519391215,0.50978932
S00309,0.467078417,0.461575325
S00310,0.484803116,0.484745905
S00311,0.499466592,0.48618022
S00312,0.519733916,0.502723465
S00313,0.535531466,0.47816798
S00314,0.546580495,0.504449925
S00315,0.576909689,0.515614895
S00316,0.564474885,0.52194532
S00317,0.457653416,0.474904385
S00318,0.476813934,0.49809088
S00319,0.493921977,0.492526545
S00320,0.448717999,0.472581415
S00321,0.468532357,0.49621731
S00322,0.457294974,0.473521425
S00323,0.476249784,0.496481895
S00324,0.492682316,0.49193321
S00325,0.494735331,0.49396935
S00326,0.483211696,0.5074009
S00327,0.492136101,0.5085448
S00328,0.491534978,0.50943115
S00329,0.47041895,0.48801206
S00330,0.479174862,0.486648635
S00331,0.482107069,0.491476385
S00332,0.462964148,0.487356545
S00333,0.476269422,0.48299029
S00334,0.485005253,0.4929703
S00335,0.464751452,0.489262985
S00336,0.473808065,0.5003956
S00337,0.479459412,0.496743085
S00338,0.483246246,0.502572735
S00339,0.488827822,0.49860115
S00340,0.489085768,0.4985854
S00341,0.450203731,0.447624695
S00342,0.461958333,0.46461495
S00343,0.468948665,0.466453865
S00344,0.449859267,0.446288265
S00345,0.462313275,0.463028435
S00346,0.450262916,0.44810603
S00347,0.46193851,0.46358703
S00348,0.468192027,0.465512145
S00349,0.46886578,0.46657315
S00350,0.47734182,0.4737619
S00351,0.477689714,0.4752876
S00352,0.476779646,0.475147365
S00353,0.458446364,0.457042515
S00354,0.460100467,0.458093715
S00355,0.462355286,0.46255739
S00356,0.460981419,0.458551795
S00357,0.457543127,0.454933255
S00358,0.468833974,0.46785739
S00359,0.467079497,0.46394355
S00360,0.475418553,0.472915605
S00361,0.467427736,0.46463564
S00362,0.475303269,0.47289516
S00363,0.474758288,0.47332598
S00364,0.47517254,0.47372867
S00365,0.456176834,0.453965755
S00366,0.460930745,0.461039905
S00367,0.461757302,0.45754802
S00368,0.455034882,0.45204109
S00369,0.460699864,0.460459815
S00370,0.455280987,0.45239521
S00371,0.46082451,0.46069066
S00372,0.460783165,0.455849525
S00373,0.461339596,0.455893815
S00374,0.477305568,0.475037
S00375,0.477667104,0.475488425
S00376,0.476994601,0.474992645
S00377,0.457892697,0.45682966
S00378,0.457284395,0.454442355
S00379,0.464723762,0.46372093
S00380,0.45728563,0.456210645
S00381,0.456501818,0.45349869
S00382,0.465498147,0.46310005
S00383,0.468858926,0.466798705
S00384,0.4738675,0.472715425
S00385,0.470023427,0.46671996
S00386,0.474752626,0.47360092
S00387,0.470969996,0.467541705
S00388,0.475633814,0.47321339
S00389,0.531826328,0.481798175
S00390,0.534932447,0.49098319
S00391,0.532528929,0.481458875
S00392,0.538255007,0.492151235
S00393,0.533777016,0.482298805
S00394,0.536483694,0.491714955
S00395,0.533154608,0.482702225
S00396,0.534585578,0.488335875
S00397,0.534051318,0.4910787
S00398,0.522959203,0.480523785
S00399,0.527701674,0.489518915
S00400,0.524189744,0.48033555
S00401,0.526532168,0.48966323
S00402,0.525080604,0.47946058
S00403,0.528987383,0.49135901
