id,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1,count,entropy,potential_initial,uncertainty_initial,potential_final,uncertainty_final
S00017,1,0,0,0,0,0,0,1,0,0,0,0.002449281,0.61573553,2,0,0.558823437,0.026948848,0.580173052,0.008279114
S00018,1,0,0,0,0,0,1,0,0,0,0,0.89688843,0.80125964,2,0,0.591171336,0.034780847,0.606394679,0.01640223
S00019,1,0,0,0,0,0,0,0,1,0,0,0.34104535,0.08624759,2,0,0.650958418,0.027906664,0.669449496,0.01019965
S00020,1,0,0,0,0,1,0,0,0,0,0,0.7481132,0.10897934,2,0,0.616502919,0.022830203,0.641149742,0.008995932
S00021,0,1,0,0,0,0,0.2,0.8,0,0,0,0.22786887,0.7034889,3,4.160345749,0.354615568,0.035041666,0.40783822,0.00993495
S00022,0,1,0,0,0,0,0.8,0.2,0,0,0,0.853416,0.7049974,3,4.160345749,0.41464159,0.037398764,0.446118378,0.012364729
S00023,0,1,0,0,0,0,0,0.8,0.2,0,0,0.22519831,0.70224434,3,4.160345749,0.371749753,0.03482587,0.424919514,0.010347369
S00024,0,1,0,0,0,0,0.8,0,0.2,0,0,0.8481401,0.70075953,3,4.160345749,0.425902078,0.038276244,0.46348444,0.013202117
S00025,0,1,0,0,0,0,0,0.2,0.8,0,0,0.1977853,0.16034965,3,4.160345749,0.45514239,0.037044214,0.528554151,0.012528482
S00026,0,1,0,0,0,0,0.2,0,0.8,0,0,0.19803937,0.160336,3,4.160345749,0.455697822,0.036833125,0.529153223,0.011613924
S00027,0,1,0,0,0,0.2,0,0.8,0,0,0,0.2254608,0.6966716,3,4.160345749,0.357065478,0.036187167,0.407460175,0.009985803
S00028,0,1,0,0,0,0.2,0.8,0,0,0,0,0.85756433,0.70059335,3,4.160345749,0.419509537,0.041145911,0.445754388,0.012309222
S00029,0,1,0,0,0,0.2,0,0,0.8,0,0,0.19793943,0.16024876,3,4.160345749,0.45837969,0.040699482,0.528183075,0.011871506
S00030,0,1,0,0,0,0.8,0,0.2,0,0,0,0.8461607,0.30961102,3,4.160345749,0.441711757,0.034907451,0.477176954,0.010798291
S00031,0,1,0,0,0,0.8,0.2,0,0,0,0,0.8469698,0.309071,3,4.160345749,0.440927949,0.037746476,0.476965987,0.010671685
S00032,0,1,0,0,0,0.8,0,0,0.2,0,0,0.846727,0.3088577,3,4.160345749,0.466819689,0.03634743,0.495221417,0.010764735
S00033,0,1,0,0,0,0,0.4,0.6,0,0,0,0.3458024,0.6539511,3,5.595419,0.389072292,0.033915288,0.419361072,0.010062742
S00034,0,1,0,0,0,0,0.6,0.4,0,0,0,0.5371933,0.6294478,3,5.595419,0.403769084,0.034909263,0.433294249,0.010501933
S00035,0,1,0,0,0,0,0,0.6,0.4,0,0,0.22363229,0.48515025,3,5.595419,0.413107896,0.035011605,0.461034395,0.011941244
S00036,0,1,0,0,0,0,0.6,0,0.4,0,0,0.8325522,0.697006,3,5.595419,0.435795039,0.038064236,0.480584839,0.015553469
S00037,0,1,0,0,0,0,0,0.4,0.6,0,0,0.23292544,0.46481183,3,5.595419,0.424398279,0.035408445,0.48334784,0.012875305
S00038,0,1,0,0,0,0,0.4,0,0.6,0,0,0.3296565,0.3132241,3,5.595419,0.448555552,0.036732468,0.501653744,0.012586084
S00039,0,1,0,0,0,0.4,0,0.6,0,0,0,0.22942987,0.6780243,3,5.595419,0.386088423,0.037945425,0.408168665,0.009965524
S00040,0,1,0,0,0,0.4,0.6,0,0,0,0,0.86299545,0.57338756,3,5.595419,0.439985459,0.039471795,0.456577266,0.011403385
S00041,0,1,0,0,0,0.4,0,0,0.6,0,0,0.5655755,0.3257124,3,5.595419,0.464416346,0.03881451,0.514111244,0.012489153
S00042,0,1,0,0,0,0.6,0,0.4,0,0,0,0.8294448,0.32618636,3,5.595419,0.458641047,0.039552593,0.475891855,0.01088595
S00043,0,1,0,0,0,0.6,0.4,0,0,0,0,0.8738718,0.5387423,3,5.595419,0.433471226,0.037903746,0.458951546,0.011336228
S00044,0,1,0,0,0,0.6,0,0,0.4,0,0,0.6433796,0.34916058,3,5.595419,0.456640455,0.036917341,0.496596033,0.011008069
S00045,0,0,1,0,0,0,0.2,0.8,0,0,0,0.16104737,0.6333401,3,4.160345749,0.355328215,0.037350877,0.410092301,0.009465634
S00046,0,0,1,0,0,0,0.8,0.2,0,0,0,0.7420452,0.7561351,3,4.160345749,0.392837764,0.036049412,0.434738022,0.011994536
S00047,0,0,1,0,0,0,0,0.8,0.2,0,0,0.16000177,0.63223475,3,4.160345749,0.354781798,0.037353752,0.41033706,0.009454101
S00048,0,0,1,0,0,0,0.8,0,0.2,0,0,0.73780686,0.75503737,3,4.160345749,0.394014777,0.036680472,0.434633764,0.011967414
S00049,0,0,1,0,0,0,0,0.2,0.8,0,0,0.2473464,0.2633919,3,4.160345749,0.408883218,0.03546842,0.448986951,0.010416546
S00050,0,0,1,0,0,0,0.2,0,0.8,0,0,0.25241366,0.26212597,3,4.160345749,0.41136547,0.035495303,0.449317339,0.010429279
S00051,0,0,1,0,0,0.2,0,0.8,0,0,0,0.1631227,0.63293356,3,4.160345749,0.347937207,0.038629805,0.409531375,0.009488389
S00052,0,0,1,0,0,0.2,0.8,0,0,0,0,0.7444099,0.75229114,3,4.160345749,0.390066819,0.035559239,0.434422123,0.012004525
S00053,0,0,1,0,0,0.2,0,0,0.8,0,0,0.24818693,0.26244438,3,4.160345749,0.408320634,0.039267891,0.448192207,0.010497581
S00054,0,0,1,0,0,0.8,0,0.2,0,0,0,0.9007065,0.20726293,3,4.160345749,0.462704673,0.031722971,0.491471082,0.011283263
S00055,0,0,1,0,0,0.8,0.2,0,0,0,0,0.90081626,0.20728143,3,4.160345749,0.467806839,0.032029403,0.491405995,0.011304297
